NBR                           TYPE                          ISO                           SIZE                          
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
0                             Washi-S                       50                            200                           
10                            Washi-S                       400                           200                           
11                            Fuji                          50                            200                           
12                            Ektar                         200                           35                            
13                            Ektar                         50                            200                           
14                            Washi-S                       200                           120                           
15                            Washi-S                       50                            35                            
16                            Fuji                          800                           200                           
17                            Fuji                          200                           35                            
18                            Fuji                          1600                          120                           
19                            Washi-S                       400                           120                           
1                             Washi-S                       50                            120                           
20                            Fuji                          400                           120                           
21                            Washi-S                       400                           200                           
22                            Washi-S                       50                            35                            
23                            Washi-S                       200                           35                            
24                            Fuji                          400                           120                           
25                            Washi-S                       800                           200                           
26                            Ektar                         200                           35                            
27                            Washi-S                       200                           200                           
28                            Ektar                         1600                          120                           
29                            Washi-S                       1600                          200                           
2                             Washi-S                       1600                          120                           
30                            Ektar                         50                            120                           
31                            Washi-S                       400                           35                            
32                            Fuji                          50                            200                           
33                            Ektar                         400                           200                           
34                            Ektar                         200                           120                           
34                            Washi-S                       50                            35                            
35                            Fuji                          400                           120                           
36                            Fuji                          400                           120                           
37                            Washi-S                       400                           35                            
38                            Ektar                         1600                          35                            
39                            Fuji                          400                           35                            
3                             Washi-S                       1600                          200                           
4                             Ektar                         400                           200                           
5                             Washi-S                       200                           200                           
6                             Washi-S                       800                           35                            
7                             Fuji                          800                           120                           
8                             Ektar                         1600                          35                            
9                             Fuji                          400                           120                           
