NBR                           TYPE                          ISO                           SIZE                          
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
39                            Fuji                          400                           35                            
38                            Ektar                         1600                          35                            
37                            Washi-S                       400                           35                            
36                            Fuji                          400                           120                           
35                            Fuji                          400                           120                           
34                            Ektar                         200                           120                           
34                            Washi-S                       50                            35                            
33                            Ektar                         400                           200                           
32                            Fuji                          50                            200                           
31                            Washi-S                       400                           35                            
30                            Ektar                         50                            120                           
29                            Washi-S                       1600                          200                           
28                            Ektar                         1600                          120                           
27                            Washi-S                       200                           200                           
26                            Ektar                         200                           35                            
25                            Washi-S                       800                           200                           
24                            Fuji                          400                           120                           
23                            Washi-S                       200                           35                            
22                            Washi-S                       50                            35                            
21                            Washi-S                       400                           200                           
20                            Fuji                          400                           120                           
19                            Washi-S                       400                           120                           
18                            Fuji                          1600                          120                           
17                            Fuji                          200                           35                            
16                            Fuji                          800                           200                           
15                            Washi-S                       50                            35                            
14                            Washi-S                       200                           120                           
13                            Ektar                         50                            200                           
12                            Ektar                         200                           35                            
11                            Fuji                          50                            200                           
10                            Washi-S                       400                           200                           
9                             Fuji                          400                           120                           
8                             Ektar                         1600                          35                            
7                             Fuji                          800                           120                           
6                             Washi-S                       800                           35                            
5                             Washi-S                       200                           200                           
4                             Ektar                         400                           200                           
3                             Washi-S                       1600                          200                           
2                             Washi-S                       1600                          120                           
1                             Washi-S                       50                            120                           
0                             Washi-S                       50                            200                           
